run_name,Category,Rank,Query ID,MRR (recip_rank)
rml500LMR050.txt,Best,1,7,1.0000
rml500LMR050.txt,Best,2,8,1.0000
rml500LMR050.txt,Best,3,9,1.0000
rml500LMR050.txt,Best,4,11,1.0000
rml500LMR050.txt,Best,5,12,1.0000
rml500LMR050.txt,Worst,1,106,0.0000
rml500LMR050.txt,Worst,2,151,0.0000
rml500LMR050.txt,Worst,3,191,0.0000
rml500LMR050.txt,Worst,4,208,0.0000
rml500LMR050.txt,Worst,5,230,0.0000
rmb500BMR030.txt,Best,1,7,1.0000
rmb500BMR030.txt,Best,2,8,1.0000
rmb500BMR030.txt,Best,3,9,1.0000
rmb500BMR030.txt,Best,4,11,1.0000
rmb500BMR030.txt,Best,5,12,1.0000
rmb500BMR030.txt,Worst,1,151,0.0000
rmb500BMR030.txt,Worst,2,191,0.0000
rmb500BMR030.txt,Worst,3,208,0.0000
rmb500BMR030.txt,Worst,4,240,0.0000
rmb500BMR030.txt,Worst,5,241,0.0000
bms090BAS060.txt,Best,1,7,1.0000
bms090BAS060.txt,Best,2,8,1.0000
bms090BAS060.txt,Best,3,9,1.0000
bms090BAS060.txt,Best,4,11,1.0000
bms090BAS060.txt,Best,5,12,1.0000
bms090BAS060.txt,Worst,1,106,0.0000
bms090BAS060.txt,Worst,2,151,0.0000
bms090BAS060.txt,Worst,3,191,0.0000
bms090BAS060.txt,Worst,4,208,0.0000
bms090BAS060.txt,Worst,5,237,0.0000
