qid,docno,relevance,iteration
5743,D2,2,0
6266,D13,2,0
7918,D17,2,0
5215,D25,1,0
1173,D37,1,0
3567,D55,1,0
5246,D73,2,0
328,D79,1,0
9909,D83,2,0
6822,D84,1,0
2397,D97,1,0
2438,D99,1,0
834,D127,2,0
8650,D128,2,0
3542,D135,2,0
6999,D138,1,0
8542,D145,2,0
400,D158,1,0
1606,D168,2,0
1439,D169,1,0
1291,D176,2,0
4035,D194,1,0
7712,D219,1,0
5355,D236,2,0
7882,D258,1,0
4678,D262,2,0
5231,D263,2,0
3575,D277,1,0
8517,D286,1,0
3256,D292,1,0
4904,D294,2,0
5838,D301,1,0
4507,D302,1,0
4874,D303,2,0
3545,D319,1,0
6277,D320,1,0
1164,D332,2,0
2222,D333,1,0
7580,D334,1,0
4349,D340,1,0
2258,D348,2,0
8447,D355,1,0
8991,D359,2,0
6187,D361,2,0
5359,D375,2,0
8426,D409,2,0
36,D420,2,0
1754,D436,1,0
1190,D450,1,0
9917,D467,2,0
3016,D468,2,0
3111,D486,1,0
4031,D512,1,0
5759,D524,2,0
8892,D525,1,0
995,D536,2,0
9103,D537,1,0
3067,D540,1,0
8029,D541,1,0
7619,D546,1,0
110,D567,1,0
5876,D568,2,0
9398,D577,1,0
7645,D601,2,0
9770,D616,2,0
3716,D624,2,0
5721,D643,2,0
902,D657,2,0
5569,D663,1,0
5357,D701,2,0
4459,D704,2,0
4401,D706,1,0
8594,D710,1,0
1625,D723,2,0
2769,D738,2,0
8678,D741,1,0
8665,D743,2,0
8294,D745,2,0
1455,D750,1,0
4971,D766,2,0
5890,D770,1,0
4220,D773,2,0
6369,D777,2,0
4110,D786,2,0
4373,D809,1,0
4796,D814,2,0
6671,D817,2,0
2619,D818,2,0
7543,D822,1,0
3357,D832,1,0
5282,D852,2,0
8571,D859,1,0
4061,D862,1,0
4228,D866,2,0
2935,D874,2,0
8024,D877,2,0
4802,D884,2,0
5034,D889,2,0
329,D890,1,0
9267,D892,2,0
3904,D899,2,0
9376,D902,2,0
8888,D906,2,0
860,D907,2,0
2825,D912,2,0
8734,D918,2,0
999,D920,2,0
7691,D948,1,0
7973,D953,1,0
118,D982,1,0
1754,D995,2,0
8832,D1002,2,0
449,D1005,1,0
878,D1009,1,0
3379,D1016,2,0
4972,D1026,1,0
4234,D1032,2,0
1469,D1039,1,0
3829,D1043,1,0
8898,D1052,1,0
640,D1055,1,0
8210,D1059,2,0
780,D1068,2,0
2440,D1069,2,0
4751,D1074,1,0
3823,D1076,1,0
333,D1082,1,0
1448,D1083,2,0
1793,D1096,2,0
7383,D1105,2,0
8525,D1108,2,0
5818,D1110,1,0
57,D1165,1,0
6372,D1169,2,0
7564,D1170,2,0
1,D1173,2,0
7139,D1174,1,0
5835,D1180,1,0
2851,D1183,1,0
2739,D1194,1,0
2877,D1200,1,0
5726,D1204,2,0
2781,D1214,2,0
2148,D1215,1,0
9034,D1240,1,0
2048,D1245,2,0
8921,D1255,1,0
7277,D1267,1,0
1248,D1268,2,0
5593,D1269,2,0
2123,D1274,2,0
3009,D1275,1,0
5538,D1286,2,0
6513,D1325,1,0
782,D1328,1,0
1924,D1340,1,0
8062,D1345,1,0
5067,D1359,2,0
3317,D1360,1,0
4809,D1362,2,0
7177,D1368,1,0
5583,D1372,1,0
8166,D1385,2,0
7430,D1400,1,0
4961,D1406,2,0
1935,D1417,2,0
1917,D1420,2,0
4633,D1425,1,0
9160,D1430,2,0
8925,D1459,2,0
604,D1462,2,0
9694,D1464,2,0
